시나리오 ID,시나리오메,상세설명(흉릿도),검증포인트
TS-USER-001,사용자 로그인 및 프로필 조회,로그인 페이지 진입 (TC No. 1) → 아이디/비밀번호 입력 → 로그인 버튼 클릭 → 프로필 조회 버튼 클릭,"1. 로그인 성공 여부
2. 프로필 정보 정확성 확인
3. 사용자 권한에 따른 정보 접근 확인"
TS-USER-002,장바구니 상품 추가 및 조회,상품 상세 페이지 진입 → 장바구니에 상품 추가 (TC No. 2) → 장바구니 조회 버튼 클릭,"1. 장바구니에 추가된 상품 확인
2. 상품 수량 및 가격 정확성 확인"
TS-USER-003,상품 구매 후 거래 목록 조회,장바구니 상품 구매 (TC No. 3) → 거래 목록 조회 버튼 클릭,"1. 거래 목록에 구매한 상품 확인
2. 거래 상세 정보 정확성 확인"
TS-USER-004,관심 상품 등록 및 조회,상품 상세 페이지 진입 → 관심 상품 등록 (TC No. 4) → 관심 상품 조회 버튼 클릭,"1. 관심 상품 목록에 등록된 상품 확인
2. 상품 정보 정확성 확인"
TS-USER-005,비밀번호 수정 후 로그인 시도,사용자 프로필 페이지 진입 → 비밀번호 수정 (TC No. 5) → 로그아웃 후 로그인 시도,"1. 로그인 성공 여부
2. 수정된 비밀번호로 로그인 가능 여부 확인"
TS-USER-006,문의하기 기능 사용 및 내역 조회,문의하기 페이지 진입 → 문의 내용 작성 후 제출 (TC No. 6) → 문의 내역 조회 버튼 클릭,"1. 문의 내역에 제출한 내용 확인
2. 문의 상태 확인"
TS-USER-007,판매 상품 검색 및 결과 확인,메인 페이지 진입 → 판매 상품 검색 (TC No. 7) → 검색 결과 클릭,"1. 검색 결과에 해당 상품 확인
2. 상품 상세 정보 정확성 확인"
TS-USER-008,거래 상세 정보 조회,거래 목록 페이지 진입 → 특정 거래 선택 (TC No. 8) → 거래 상세 정보 조회,"1. 거래 상세 정보 정확성 확인
2. 거래 관련 정보 확인"
TS-USER-009,장바구니 상품 수량 변경 및 조회,장바구니 페이지 진입 → 상품 수량 변경 (TC No. 9) → 장바구니 조회 버튼 클릭,"1. 변경된 상품 수량 확인
2. 총 가격 정확성 확인"
TS-USER-010,관심 상품 삭제 및 조회,관심 상품 목록 페이지 진입 → 관심 상품 삭제 (TC No. 10) → 관심 상품 조회 버튼 클릭,"1. 삭제된 상품이 목록에 없는지 확인
2. 관심 상품 목록 정확성 확인"
